time,cwnd
21.840,40635
21.840,40676
21.840,40717
21.840,40758
21.840,40799
21.840,40840
21.840,40881
21.841,40922
21.841,40963
21.841,41004
21.841,41045
21.841,41085
21.841,41126
21.841,41167
21.841,41207
21.841,41248
21.841,41288
21.841,41329
21.842,41369
21.842,41409
21.842,41450
21.842,41490
21.842,41530
21.842,41571
21.842,41611
21.842,41651
21.842,41691
21.843,41731
21.843,41771
21.843,41811
21.843,41851
21.843,41891
21.880,41931
21.880,41971
21.880,42011
21.880,42050
21.880,42090
21.880,42130
21.881,42170
21.881,42209
21.881,42249
21.881,42288
21.881,42328
21.881,42367
21.881,42407
21.881,42446
21.881,42485
21.882,42525
21.882,42564
21.882,42603
21.882,42643
21.882,42682
21.882,42721
21.882,42760
21.882,42799
21.882,42838
21.883,42877
21.883,42916
21.883,42955
21.883,42994
21.883,43033
21.883,43072
21.883,43110
21.883,43149
21.883,43188
21.884,43227
21.884,43265
21.884,43304
21.920,43342
21.921,43381
21.921,43420
21.921,43458
21.921,43496
21.921,43535
21.921,43573
21.921,43612
21.921,43650
21.921,43688
21.921,43726
21.922,43765
21.922,43803
21.922,43841
21.922,43879
21.922,43917
21.922,43955
21.922,43993
21.922,44031
21.923,44069
21.923,44107
21.923,44145
21.923,44183
21.923,44221
21.923,44258
21.923,44296
21.923,44334
21.923,44372
21.923,44409
21.924,44447
21.924,44484
21.924,44522
21.924,44560
21.924,44597
21.924,44634
21.924,44672
21.924,44709
21.961,44747
21.961,44784
21.961,44821
21.961,44859
21.962,44896
21.962,44933
21.962,44970
21.962,45007
21.962,45045
21.962,45082
21.962,45119
21.962,45156
21.962,45193
21.963,45230
21.963,45267
21.963,45304
21.963,45340
21.963,45377
21.963,45414
21.963,45451
21.963,45488
21.963,45524
21.964,45561
21.964,45598
21.964,45634
21.964,45671
21.964,45708
21.964,45744
21.964,45781
21.964,45817
21.964,45854
21.965,45890
21.965,45927
21.965,45963
21.965,45999
21.965,46036
21.965,46072
21.965,46108
22.002,46144
22.002,46181
22.002,46217
22.002,46253
22.002,46289
22.002,46325
22.002,46361
22.002,46397
22.002,46433
22.002,46469
22.003,46505
22.003,46541
22.003,46577
22.003,46613
22.003,46649
22.003,46685
22.003,46720
22.003,46756
22.003,46792
22.003,46828
22.004,46863
22.004,46899
22.004,46935
22.004,46970
22.004,47006
22.004,47041
22.004,47077
22.004,47112
22.004,47148
22.004,47183
22.005,47219
22.005,47254
22.005,47289
22.005,47325
22.005,47360
22.005,47395
22.005,47431
22.005,47466
22.006,47501
22.006,47536
22.042,47571
22.042,47606
22.042,47642
22.042,47677
22.042,47712
22.043,47747
22.043,47782
22.043,47817
22.043,47852
22.043,47886
22.043,47921
22.043,47956
22.043,47991
22.043,48026
22.044,48061
22.044,48095
22.044,48130
22.044,48165
22.044,48200
22.044,48234
22.044,48269
22.044,48304
22.044,48338
22.045,48373
22.045,48407
22.045,48442
22.045,48476
22.045,48511
22.045,48545
22.045,48580
22.045,48614
22.045,48648
22.046,48683
22.046,48717
22.046,48751
22.046,48786
22.046,48820
22.046,48854
22.046,48888
22.046,48922
22.046,48957
22.083,48991
22.083,49025
22.083,49059
22.083,49093
22.083,49127
22.083,49161
22.083,49195
22.084,49229
22.084,49263
22.084,49297
22.084,49331
22.084,49365
22.084,49398
22.084,49432
22.084,49466
22.085,49500
22.085,49534
22.085,49567
22.085,49601
22.085,49635
22.085,49668
22.085,49702
22.085,49736
22.085,49769
22.086,49803
22.086,49836
22.086,49870
22.086,49903
22.086,49937
22.086,49970
22.086,50004
22.086,50037
22.086,50071
22.087,50104
22.087,50137
22.087,50171
22.087,50204
22.087,50237
22.087,50270
22.087,50304
22.087,50337
22.087,50370
22.137,50403
22.138,50436
22.138,50470
22.138,50503
22.138,50536
22.139,50569
22.139,50602
22.139,50635
